customer_id,customer_name,customer_email,customer_city,customer_state,customer_zip_code
4500CD43,James Rodriguez,customer5012@example.com,Los Angeles,CA,39256
F47249B9,Sarah Williams,customer7912@example.com,Austin,TX,14165
DFFFD4E0,David Miller,customer4811@example.com,San Diego,CA,76237
37E7C449,James Miller,customer9928@example.com,Phoenix,AZ,64987
DC0A479E,Carlos Rodriguez,customer1106@example.com,Denver,CO,30926
8AE7BAAF,John Rodriguez,customer3547@example.com,Seattle,WA,38221
F8864906,Sarah Williams,customer7224@example.com,New York,NY,22676
9C3B576E,Amanda Rodriguez,customer1711@example.com,New York,NY,70217
A76DC925,Sarah Taylor,customer2291@example.com,Miami,FL,82357
8097BDC6,Amanda Miller,customer2139@example.com,Chicago,IL,16006
F5EDF9A3,Jessica Williams,customer4814@example.com,Denver,CO,23238
72D16EB4,William Patel,customer6977@example.com,Seattle,WA,31319
B2B2C176,Amanda Miller,customer5374@example.com,New York,NY,99593
76306931,Emily Davis,customer3677@example.com,Los Angeles,CA,70589
9DB78FD3,William Davis,customer6313@example.com,Seattle,WA,17331
CF891A2F,Maria Wilson,customer7572@example.com,Denver,CO,45093
77054EA1,Michael Wilson,customer4483@example.com,Los Angeles,CA,95909
5BB1F2BD,Thomas Patel,customer3340@example.com,Boston,MA,44718
9DDD81D8,Ashley Rodriguez,customer8019@example.com,Austin,TX,86484
B60806BD,Amanda Davis,customer3266@example.com,Seattle,WA,76784
2AE532CD,David Johnson,customer2796@example.com,Boston,MA,30033
622286D6,Melissa Williams,customer7304@example.com,Austin,TX,60019
505E81BA,Carlos Rodriguez,customer1188@example.com,Phoenix,AZ,99166
D8FB15D4,William Wilson,customer2827@example.com,Los Angeles,CA,48469
EC13F53B,Emily Patel,customer1053@example.com,Seattle,WA,44522
FF321F1B,Emily Brown,customer5889@example.com,Miami,FL,93748
C13F73F8,Michael Jones,customer7126@example.com,Miami,FL,31174
5313C1AC,James Wilson,customer9005@example.com,Miami,FL,12552
079D4343,Amanda Martinez,customer4923@example.com,Los Angeles,CA,17592
A1B5AAA3,David Williams,customer8962@example.com,Denver,CO,19071
4249ACCE,Robert Jones,customer8787@example.com,Miami,FL,82063
A680294F,William Nguyen,customer4470@example.com,Austin,TX,80686
BDE58DB3,Jessica Taylor,customer7118@example.com,Denver,CO,67422
E6C7A826,Carlos Brown,customer5061@example.com,Miami,FL,39451
8F065601,John Smith,customer4770@example.com,Los Angeles,CA,87128
EF635618,James Williams,customer1964@example.com,Denver,CO,40007
8BE9E4D7,Maria Wilson,customer2160@example.com,Los Angeles,CA,77391
BD4DB4C5,William Lee,customer4510@example.com,Denver,CO,80678
27682BB7,Priya Davis,customer8749@example.com,Austin,TX,63354
75EE3D85,Sarah Brown,customer8062@example.com,Denver,CO,56438
AFDD6F56,Melissa Patel,customer1887@example.com,Seattle,WA,98259
8F6F08AE,Maria Taylor,customer6559@example.com,Los Angeles,CA,24322
BE8570A1,Michael Miller,customer9786@example.com,Denver,CO,68800
7CD15F8B,Melissa Garcia,customer5563@example.com,Austin,TX,70637
087493F1,David Patel,customer2604@example.com,Denver,CO,16630
633E36CD,James Williams,customer4872@example.com,Miami,FL,31798
82F1CC2F,Priya Lee,customer4502@example.com,Seattle,WA,62565
EDAD7671,Emily Taylor,customer1035@example.com,San Diego,CA,61173
42E0DA81,Carlos Martinez,customer7930@example.com,Chicago,IL,82845
E38BC1BD,Robert Miller,customer5861@example.com,Boston,MA,38534
C189FB48,Maria Wilson,customer1936@example.com,San Diego,CA,16572
50345BE3,Priya Garcia,customer1931@example.com,Phoenix,AZ,76562
ABA7E283,Emily Williams,customer2113@example.com,Los Angeles,CA,98501
AE2C9AF6,Thomas Brown,customer5033@example.com,Denver,CO,85880
F1010292,Maria Williams,customer7868@example.com,Phoenix,AZ,96163
18B38E7F,John Rodriguez,customer4346@example.com,Phoenix,AZ,97782
B3B50A55,Ashley Rodriguez,customer7484@example.com,New York,NY,27154
7C6E8F71,Carlos Wilson,customer2188@example.com,Chicago,IL,11220
EDD09C0E,Sarah Williams,customer9808@example.com,Boston,MA,37938
6B4A47D4,William Jones,customer6718@example.com,Miami,FL,19016
DFCCBF9A,Amanda Martinez,customer3584@example.com,Denver,CO,67433
EE93D84A,Jessica Smith,customer5905@example.com,Miami,FL,96951
B18BECF7,Robert Rodriguez,customer2891@example.com,Los Angeles,CA,24029
5EE411AB,Robert Rodriguez,customer5616@example.com,Miami,FL,89276
4BFAE7CA,John Miller,customer5325@example.com,Denver,CO,76244
80C59387,William Johnson,customer2512@example.com,Boston,MA,93136
26DD632E,William Johnson,customer1058@example.com,Seattle,WA,53719
3603D99D,William Garcia,customer8239@example.com,Austin,TX,82309
AB0ADF6D,James Brown,customer2232@example.com,Seattle,WA,29536
69413040,Maria Anderson,customer3426@example.com,Miami,FL,66333
A98BD4CA,Maria Martinez,customer6974@example.com,Austin,TX,15229
B0353AC9,Michael Davis,customer2684@example.com,New York,NY,56357
5B7BC6D4,Melissa Jones,customer4878@example.com,Miami,FL,31299
E9828A93,Melissa Smith,customer3938@example.com,Austin,TX,53540
01A064F6,Ashley Rodriguez,customer3608@example.com,Seattle,WA,24168
19FCBD58,Maria Lee,customer4644@example.com,Seattle,WA,36158
808DB87D,Amanda Martinez,customer4728@example.com,Boston,MA,39219
429D783C,Michael Taylor,customer6378@example.com,San Diego,CA,46517
4BD267A6,William Anderson,customer9346@example.com,Los Angeles,CA,62386
171F3EAC,John Smith,customer2889@example.com,Miami,FL,44237
2497A702,William Johnson,customer2776@example.com,Austin,TX,88193
D50EE0D6,Amanda Wilson,customer8149@example.com,Seattle,WA,89457
5711A536,Sarah Taylor,customer4114@example.com,Miami,FL,43386
BB724B0E,Melissa Smith,customer9518@example.com,San Diego,CA,80575
6EAC63E9,Amanda Nguyen,customer2146@example.com,Denver,CO,97062
7B31E78F,John Brown,customer5920@example.com,New York,NY,76469
ECF6E8EC,Melissa Wilson,customer7592@example.com,Chicago,IL,48752
